"ID";"DeviceID";"Date";"Technician";"PrimaryServiceText";"SecondaryServiceText"
"515";"1689";"2021-02-24";"NV";"Ladeprint udskiftet
A-knap udskiftet
Batteri udskiftet
Afprøvet";
"516";"2644";"2021-03-02";"NV";"Display udskiftet
Afprøvet";
"517";"17944";"2021-03-04";"KG";"Udskiftning af label.
Udskiftning af print.
Udskiftning af potmeter.
Kabinet ændret, så print er fraisoleret.
Afprøvet.";
"518";"5464";"2021-03-08";"KG";"Udskiftning af display.
Afprøvet.";
"519";"2807";"2021-03-09";"NV";"Ladeprint udskiftet
Ny lader
Batteri udskiftet
Opdateret til V.2.2
Afprøvet";
"520";"946";"2021-03-19";"KG";"Udskiftning af ""A"" knap.
Software opdateret.
Afprøvet.";
"521";"5236";"2021-03-23";"KG";"Udskiftning af display.
Afprøvet.";
"522";"4819";"2021-04-06";"KG";"Udskiftning af potmeter.
Udskiftning af label(fysisk skade)
Udskiftning af stikben på spiralkabel.
Afprøvet.";
"523";"19672";"2021-04-06";"KG";"Udskiftning af label.
Udskiftning af potmeter.
Udskiftning af print.
Print fraisoleret kabinet.
Afprøvet.";
"524";"5412";"2021-04-06";"KG";"Efterset, ingen fejl fundet.
Potmeter udskiftet.
Afprøvet.";
"525";"5121";"2021-04-06";"KG";"Udskiftning af label.
Udskiftning af potmeter.
Afprøvet.";
"526";"5030";"2021-04-07";"KG";"Udskiftning af label(fugtskade).
Udskiftning af potmeter.
Afprøvet.";
"527";"12762";"2021-04-07";"KG";"Efterset og afprøvet, ingen fejl fundet.
Potmeter ikke skiftet, da den er under 6 mdr. gammel. ";
"528";"11462";"2021-04-07";"KG";"Adskilt, efterset og afprøvet, ingen fejl fundet.";
"529";"20894";"2021-04-28";"KG";"Udskiftning af potmeter.
Rep af dårlig forbindelse på print.
Afprøvet.";
"530";"5261";"2021-04-28";"KG";"Udskiftning af label(fugtskade).
Udskiftning af potmeter.
Afprøvet.";
"531";"20918";"2021-04-28";"KG";"Udskiftning af label.
Udskiftning af potmeter.
Udskiftning af spiralkabel.
Afprøvet.";
"532";"21515";"2021-05-10";"KG";"Print renset.
Udskiftning af potmeter(leveret af GMV)
Afprøvet.";
"533";"4018";"2021-05-10";"KG";"Udskiftning af label(fysisk skade)
Udskiftning af potmeter.(leveret af GMV)
Afprøvet.";
"534";"6428";"2021-05-10";"KG";"Udskiftning af spiralkabel.
Udskiftning af potmeter(Leveret af GMV)
Afprøvet.";
"535";"21516";"2021-05-10";"KG";"Udskiftning af label.
Udskiftning af print.
Udskiftning af potmeter(leveret af GMV)
Afprøvet.";
"536";"21543";"2021-05-11";"KG";"Udskiftning af label.
Udskiftning af potmeter(leveret af GMV)
Udskiftning af print.
Print fraisoleret kabinet.
Afprøvet.";
